168: "7/7/2023 12:35:27 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateStandby""}"				
172: "7/7/2023 12:35:27 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data out"""	" ""eventid"": 5"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xStatus Standby State\\r'""}"				
173: "7/7/2023 12:35:27 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data in"""	" ""eventid"": 6"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xStatus Standby State\\r\\n*s Standby State: Off\\r\\n** end\\r\\n\\r\\nOK\\r\\n'""}"				
177: "7/7/2023 12:35:27 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateStandby""}"				
178: "7/7/2023 12:35:27 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""_DoMatchString_""}"				
181: "7/7/2023 12:35:27 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""info"""	" ""eventid"": 3"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""matched b'*s Standby State: Off\\r\\n'""}"				
182: "7/7/2023 12:35:27 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""_DoMatchString_""}"				
191: "7/7/2023 12:35:27 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""Token""}"				
192: "7/7/2023 12:35:27 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""Token""}"				
203: "7/7/2023 12:35:32 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateFirmwareVersion""}"				
204: "7/7/2023 12:35:32 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data out"""	" ""eventid"": 5"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xgetxml /status/standby\\r'""}"				
207: "7/7/2023 12:35:32 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data in"""	" ""eventid"": 6"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xgetxml /status/standby\\r\\n<Status product=\""Cisco Codec\"" version=\""ce11.3.1.17.09fdf7c0b94\"" apiVersion=\""4\"">\\r\\n  <Standby>\\r\\n    <State>Off</State>\\r\\n  </Standby>\\r\\n</Status>\\r\\n** end\\r\\n\\r\\nOK\\r\\n'""}"				
208: "7/7/2023 12:35:32 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateFirmwareVersion""}"				
210: "7/7/2023 12:35:32 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""_DoMatchString_""}"				
211: "7/7/2023 12:35:32 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""info"""	" ""eventid"": 3"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""matched b'version=\""ce11.3.1.17.09fdf7c0b94\"" apiVersion'""}"				
215: "7/7/2023 12:35:32 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""_DoMatchString_""}"				
